Date,open,high,low,close,volume
2016-01-04 09:30:00,3536.59,3536.59,3530.5,3535.08,6657782
2016-01-04 09:35:00,3534.64,3538.54,3524.93,3524.93,6380232
2016-01-04 09:40:00,3525.18,3525.18,3511.22,3513.12,7835888
2016-01-04 09:45:00,3513.26,3515.66,3492.87,3492.87,8350814
2016-01-04 09:50:00,3492.88,3492.88,3486.51,3492.67,8726264
2016-01-04 09:55:00,3492.61,3496.63,3490.06,3491.56,6432052
2016-01-04 10:00:00,3490.74,3494.01,3481.14,3481.14,6615760
2016-01-04 10:05:00,3480.53,3480.53,3440.62,3440.91,12042776
2016-01-04 10:10:00,3440.53,3440.53,3403.84,3403.84,13276680
2016-01-04 10:15:00,3403.23,3414.55,3395.97,3414.55,11012288
2016-01-04 10:20:00,3415.79,3430.81,3415.79,3418.21,7768072
2016-01-04 10:25:00,3417.44,3427.96,3417.44,3427.71,5040576
2016-01-04 10:30:00,3427.63,3427.63,3419.23,3421.01,4485592
2016-01-04 10:35:00,3420.54,3435.85,3420.54,3435.85,3900672
2016-01-04 10:40:00,3434.78,3436.6,3428.86,3429.56,4020016
2016-01-04 10:45:00,3428.92,3429.41,3422.88,3422.88,3411472
2016-01-04 10:50:00,3423.25,3423.25,3416.7,3417.67,3791400
2016-01-04 10:55:00,3416.87,3427.44,3416.87,3427.44,2840528
2016-01-04 11:00:00,3426.17,3428.67,3422.87,3422.96,2900616
2016-01-04 11:05:00,3422.58,3422.93,3417.98,3417.98,2952360
2016-01-04 11:10:00,3418.02,3418.1,3397.48,3398.5,6680832
2016-01-04 11:15:00,3397.78,3405.55,3396.57,3405.55,4303376
2016-01-04 11:20:00,3405.12,3408.5,3405.12,3407.18,2801584
2016-01-04 11:25:00,3407.58,3407.77,3401.58,3401.58,2840896
2016-01-04 11:30:00,3401.85,3401.85,3399.68,3399.91,774080
2016-01-04 13:00:00,3399.79,3399.79,3385.0,3385.21,5447808
2016-01-04 13:05:00,3385.67,3385.67,3379.11,3379.17,4669536
