Date,open,high,low,close,volume
2016-01-04 09:30:00,8385.0,8385.0,8361.29,8369.37,3208203
2016-01-04 09:35:00,8370.7,8378.99,8327.41,8327.41,3316191
2016-01-04 09:40:00,8326.3,8326.3,8285.27,8293.68,3851675
2016-01-04 09:45:00,8294.19,8297.54,8219.4,8219.4,3937794
2016-01-04 09:50:00,8219.2,8222.95,8200.83,8222.95,4177805
2016-01-04 09:55:00,8225.61,8235.67,8215.21,8217.91,2939700
2016-01-04 10:00:00,8217.95,8232.14,8189.55,8189.55,2944460
2016-01-04 10:05:00,8188.24,8188.24,8068.34,8068.34,5374844
2016-01-04 10:10:00,8066.38,8066.38,7949.1,7949.1,5744412
2016-01-04 10:15:00,7948.1,7998.7,7937.49,7998.7,4459524
2016-01-04 10:20:00,8001.81,8048.22,8001.81,8013.63,3284376
2016-01-04 10:25:00,8013.63,8050.76,8010.09,8050.2,2175852
2016-01-04 10:30:00,8049.94,8049.94,8018.22,8024.11,1905276
2016-01-04 10:35:00,8024.11,8071.14,8023.7,8071.14,1604416
2016-01-04 10:40:00,8069.49,8070.49,8043.34,8044.77,1723844
2016-01-04 10:45:00,8043.96,8044.61,8023.97,8023.97,1477152
2016-01-04 10:50:00,8022.79,8023.89,8012.61,8016.65,1517000
2016-01-04 10:55:00,8017.53,8041.96,8016.95,8041.96,1172092
2016-01-04 11:00:00,8041.89,8047.43,8028.96,8028.96,1177328
2016-01-04 11:05:00,8028.96,8029.26,8013.78,8013.78,1215620
2016-01-04 11:10:00,8012.43,8013.3,7951.56,7951.56,2679888
2016-01-04 11:15:00,7953.43,7982.98,7953.43,7982.39,1714828
2016-01-04 11:20:00,7982.82,7988.01,7982.82,7985.93,1088584
2016-01-04 11:25:00,7984.92,7984.92,7965.77,7965.77,1259352
2016-01-04 11:30:00,7964.7,7965.49,7955.46,7955.79,350388
2016-01-04 13:00:00,7955.79,7955.79,7909.7,7911.76,2267420
2016-01-04 13:05:00,7911.85,7912.79,7897.94,7897.94,1906968
2016-01-04 13:10:00,7895.48,7895.48,7848.52,7848.52,2584800
2016-01-04 13:15:00,7848.52,7848.52,7848.52,7848.52,0
2016-01-04 13:20:00,7848.52,7848.52,7848.52,7848.52,0
2016-01-04 13:25:00,7848.52,7848.52,7831.3,7831.3,1635224
2016-01-04 13:30:00,7830.83,7830.83,7703.85,7704.51,5915552
2016-01-04 13:35:00,7703.55,7705.72,7702.96,7705.72,187576
2016-01-04 13:40:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 13:45:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 13:50:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 13:55:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:00:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:05:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:10:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:15:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:20:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:25:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:30:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:35:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:40:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:45:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:50:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 14:55:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-04 15:00:00,7705.72,7705.72,7705.72,7705.72,0
2016-01-05 09:30:00,7375.71,7506.93,7372.74,7506.93,8873836
2016-01-05 09:35:00,7512.93,7622.88,7512.93,7607.76,5469506
2016-01-05 09:40:00,7607.36,7607.36,7539.92,7562.72,4468266
2016-01-05 09:45:00,7563.2,7691.41,7563.2,7691.41,3543494
2016-01-05 09:50:00,7694.71,7748.63,7689.9,7689.9,4479202
2016-01-05 09:55:00,7688.78,7692.24,7660.72,7692.24,2872580
2016-01-05 10:00:00,7692.41,7694.73,7576.86,7577.0,3255946
2016-01-05 10:05:00,7577.67,7620.34,7574.22,7602.42,2473590
2016-01-05 10:10:00,7602.03,7656.54,7598.82,7656.54,1872132
2016-01-05 10:15:00,7656.54,7676.06,7637.55,7637.84,1829296
2016-01-05 10:20:00,7636.56,7647.64,7629.67,7646.11,1347692
2016-01-05 10:25:00,7646.71,7648.86,7638.34,7641.26,1351388
2016-01-05 10:30:00,7640.44,7701.42,7640.44,7699.46,1837076
2016-01-05 10:35:00,7700.45,7701.21,7669.17,7671.64,1485436
2016-01-05 10:40:00,7672.03,7672.07,7645.76,7645.76,1213672
2016-01-05 10:45:00,7645.35,7660.49,7639.09,7660.49,1158464
2016-01-05 10:50:00,7661.43,7669.97,7660.63,7669.62,1149792
2016-01-05 10:55:00,7669.37,7685.55,7667.86,7682.36,1288544
2016-01-05 11:00:00,7683.78,7725.8,7682.68,7725.8,1717484
2016-01-05 11:05:00,7725.47,7730.99,7703.03,7705.15,1593532
2016-01-05 11:10:00,7705.39,7709.95,7704.01,7707.78,1050396
2016-01-05 11:15:00,7708.15,7709.77,7682.51,7682.51,1194012
2016-01-05 11:20:00,7681.82,7686.16,7673.39,7686.16,1085168
2016-01-05 11:25:00,7685.55,7690.44,7685.0,7686.0,868536
2016-01-05 11:30:00,7686.76,7687.38,7683.84,7684.61,172452
2016-01-05 13:00:00,7685.54,7695.51,7685.54,7689.82,920172
2016-01-05 13:05:00,7690.72,7690.92,7664.68,7665.55,987268
2016-01-05 13:10:00,7665.45,7666.45,7640.37,7640.37,1305732
2016-01-05 13:15:00,7638.71,7638.71,7582.57,7582.57,2206272
2016-01-05 13:20:00,7583.03,7618.6,7581.77,7612.99,1763084
2016-01-05 13:25:00,7612.72,7612.72,7514.29,7514.29,2558164
2016-01-05 13:30:00,7512.28,7512.28,7466.42,7490.49,3940944
2016-01-05 13:35:00,7493.45,7542.35,7493.45,7507.3,2152128
2016-01-05 13:40:00,7507.16,7556.08,7496.96,7556.08,1989184
2016-01-05 13:45:00,7558.08,7568.63,7537.08,7537.08,1397624
2016-01-05 13:50:00,7537.47,7551.37,7493.77,7493.77,1663984
2016-01-05 13:55:00,7493.77,7514.13,7478.55,7513.55,2543792
2016-01-05 14:00:00,7517.0,7529.35,7510.38,7510.44,1416440
2016-01-05 14:05:00,7508.79,7508.79,7488.62,7488.62,1815848
2016-01-05 14:10:00,7487.99,7488.18,7345.01,7345.01,5350816
2016-01-05 14:15:00,7344.18,7438.76,7338.43,7438.76,4086704
2016-01-05 14:20:00,7438.56,7439.09,7396.11,7417.56,2323104
2016-01-05 14:25:00,7419.63,7517.83,7419.63,7510.96,2683304
2016-01-05 14:30:00,7510.06,7510.06,7489.33,7496.15,1748112
2016-01-05 14:35:00,7498.05,7600.91,7497.57,7600.91,2789216
2016-01-05 14:40:00,7602.63,7611.54,7567.15,7567.82,2586312
2016-01-05 14:45:00,7567.12,7603.78,7566.3,7602.87,2172096
2016-01-05 14:50:00,7603.07,7605.94,7584.44,7584.84,2451088
2016-01-05 14:55:00,7585.11,7601.83,7584.16,7601.81,1931624
2016-01-05 15:00:00,7601.74,7604.33,7601.74,7604.33,1049616
2016-01-06 09:30:00,7641.97,7674.48,7641.97,7650.17,4594390
2016-01-06 09:35:00,7650.14,7706.09,7649.83,7699.78,3740169
2016-01-06 09:40:00,7696.99,7696.99,7685.32,7685.48,3662173
2016-01-06 09:45:00,7685.48,7685.48,7650.92,7666.6,3061288
2016-01-06 09:50:00,7667.57,7673.1,7663.05,7663.05,2408712
2016-01-06 09:55:00,7662.59,7701.08,7662.22,7696.86,2683972
2016-01-06 10:00:00,7696.85,7696.85,7682.41,7684.78,2142828
2016-01-06 10:05:00,7685.18,7687.3,7656.6,7656.6,2309956
2016-01-06 10:10:00,7653.79,7664.42,7647.17,7662.54,1999286
2016-01-06 10:15:00,7661.34,7664.91,7652.55,7664.48,1881350
2016-01-06 10:20:00,7664.48,7669.46,7662.72,7662.72,1724940
2016-01-06 10:25:00,7662.72,7663.49,7631.26,7631.26,2246138
2016-01-06 10:30:00,7631.26,7633.96,7619.7,7633.01,2065014
2016-01-06 10:35:00,7633.88,7634.44,7577.06,7577.06,2299604
2016-01-06 10:40:00,7577.06,7594.93,7566.5,7592.99,2577624
2016-01-06 10:45:00,7592.19,7593.81,7579.48,7590.16,1641072
2016-01-06 10:50:00,7590.68,7603.88,7580.71,7580.71,1343136
2016-01-06 10:55:00,7580.65,7580.65,7557.88,7557.88,1646496
2016-01-06 11:00:00,7557.88,7591.53,7557.88,7591.21,1497308
2016-01-06 11:05:00,7592.57,7606.03,7588.07,7605.89,1176040
2016-01-06 11:10:00,7605.58,7614.26,7605.58,7608.65,1144512
2016-01-06 11:15:00,7608.65,7637.42,7608.65,7637.42,1338528
2016-01-06 11:20:00,7636.96,7637.68,7620.36,7620.7,1068316
2016-01-06 11:25:00,7620.71,7624.07,7618.03,7618.42,882216
2016-01-06 11:30:00,7619.84,7622.45,7618.16,7622.12,158716
2016-01-06 13:00:00,7621.87,7627.56,7610.89,7610.89,1055336
2016-01-06 13:05:00,7611.26,7611.84,7605.05,7611.52,1036088
2016-01-06 13:10:00,7612.37,7614.59,7594.37,7594.37,1117864
2016-01-06 13:15:00,7594.53,7616.54,7591.4,7616.53,1313496
2016-01-06 13:20:00,7616.53,7633.05,7616.53,7630.66,1279624
2016-01-06 13:25:00,7630.53,7666.41,7630.53,7660.56,1920944
2016-01-06 13:30:00,7660.34,7660.34,7649.54,7655.91,1378008
2016-01-06 13:35:00,7656.19,7698.08,7656.19,7692.62,2408192
2016-01-06 13:40:00,7691.75,7691.75,7674.54,7684.32,1551732
2016-01-06 13:45:00,7685.37,7706.38,7683.8,7702.9,1884320
2016-01-06 13:50:00,7701.1,7701.1,7674.83,7677.63,1532564
