low_0,low_1,low_2,low_3,low_4,low_5,low_6,low_7,low_8,low_9
7104.36,7119.64,7241.63,7376.25,7544.2,7688.97,7703.27,7726.076666666667,7732.69,7744.115
7104.36,7119.64,7241.63,7263.66,7376.25,7544.2,7703.27,7726.076666666667,7732.69,7744.115
7104.36,7119.64,7206.82,7241.63,7263.66,7376.25,7544.2,7704.22,7727.73,7744.115
7104.699555555555,7147.41,7206.82,7241.63,7263.66,7376.25,7544.2,7704.22,7725.545,7740.306666666666
6863.27,7104.699555555555,7147.41,7206.82,7241.63,7263.66,7376.25,7544.2,7704.22,7736.2075
6871.195,7104.699555555555,7147.41,7206.82,7241.63,7263.66,7376.25,7544.2,7713.88,7740.306666666666
6871.195,7019.45,7104.699555555555,7147.41,7206.82,7241.63,7263.66,7376.25,7544.2,7736.2075
6871.195,7019.45,7104.699555555555,7140.68,7206.82,7241.63,7263.66,7376.25,7544.2,7740.306666666666
6871.195,7019.45,7104.699555555555,7140.8533333333335,7206.82,7241.63,7263.66,7376.25,7544.2,7744.115
6871.195,7019.45,7104.699555555555,7140.2625,7206.82,7241.63,7263.66,7376.25,7544.2,7746.85
6871.195,7019.45,7104.699555555555,7140.2625,7185.26,7206.82,7241.63,7263.66,7376.25,7544.2
6871.195,7019.45,7104.36,7126.795,7142.366666666667,7185.26,7205.445,7241.63,7263.66,7376.25
6863.27,6879.12,7019.45,7104.36,7119.64,7140.2625,7185.26,7206.403333333333,7241.63,7263.66
6863.27,6879.12,7019.45,7104.36,7119.64,7140.2625,7186.085,7206.403333333333,7241.63,7263.66
6863.27,6879.12,7019.45,7104.36,7119.64,7140.2625,7181.553333333333,7206.403333333333,7241.63,7263.66
6863.27,6879.12,7019.45,7104.36,7119.64,7140.2625,7172.49,7187.89,7206.403333333333,7263.66
6863.27,6879.12,7019.45,7104.36,7137.88,7147.41,7172.49,7188.8625,7206.403333333333,7263.66
6863.27,6879.12,7019.45,7104.36,7137.88,7148.51,7172.49,7188.8625,7206.403333333333,7263.66
6863.27,6879.12,7019.45,7104.36,7138.4475,7148.51,7172.49,7188.8625,7206.403333333333,7263.66
